Sentence,Protein,UniProtId,Phenotype,HPOId,type,Label
"In addition, we showed that exogenous PEDF inhibited the growth of cultured human OSE as well as ovarian PHENO cell lines, whereas targeted inhibition of endogenous PROT using small interfering RNA or neutralizing PEDF antibody promoted the growth of these cells, confirming that the growth-inhibitory effect was PEDF specific.",PEDF,P36955,cancer,HP:0002664,abs,Good-CoM
"Deficiency of 17beta-hydroxysteroid dehydrogenase type 3 (17beta-PROT), due to mutations in the gene encoding the enzyme, results in a rare autosomal recessive form of male-to-female PHENO.",HSD3,Q9P0W8,sex reversal,HP:0012245,abs,Good-CoM
"Of 15 patients with PROT/ENL, 7 had precursor B-cell acute lymphoblastic leukemia, 4 had T-cell acute lymphoblastic leukemia, and 4 had acute myeloid PHENO.",MLL,Q03164,leukemia,HP:0001909,abs,Good-CoM
PROT is a hormone secreted by fat cells and has been shown to strongly correlate with both PHENO and insulin resistance in children and adults.,Leptin,P41159,obesity,HP:0001513,abs,Good-CoM
Different expression of PROT/neu oncogene in PHENO and in liver metastasis.,HER2,P04626,breast carcinoma,HP:0003002,abs,Good-CoM
Parallel changes in FN and alpha5beta1 integrin indicated that alterations in PROT and alpha5beta1 integrin in chondrocytes constituted one of the molecular mechanisms during progression of PHENO.,FN,P02751,arthritis,HP:0001369,abs,Good-CoM
"To elucidate the vascular disease mechanisms that result from structural modifications of the ANP gene, we investigated a coding mutation of the PROT gene in PHENO-prone spontaneously hypertensive rats (SHRsp).",ANP,P01160,stroke,HP:0001297,abs,Bad-CoM
This provides a rationale for the beneficial role of BF in improving PHENO and/or cholangitis associated with defective PROT expression and function in various types of cholestatic hepatobiliary diseases.,MDR3,P21439,cholestasis,HP:0001396,abs,Good-CoM
"As HCV-infected livers progressed from chronic PHENO through cirrhosis to HCC, hepatocytic pSmad3L/PAI-1 increased with fibrotic stage and necroinflammatory grade, and pSmad3C/p21(PROT) decreased.",WAF1,P38936,hepatitis,HP:0012115,abs,Good-CoM
"PROT, is a member of the ErbB family of receptor tyrosine kinases, that plays a key role in the pathogenesis of breast PHENO, and when overexpressed, can correlate with a particularly aggressive clinical phenotype.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"Since inhibitors of Caveolin-1 signalling are available, targeting PROT in breast cancer may represent a potential option for future PHENO treatment.",Caveolin-1,Q03135,breast cancer,HP:0003002,abs,Good-CoM
"To investigate the antitumor effect of a benzoquinone ansamycin antibiotic, geldanamycin (GA), against PROT /neu tyrosine kinase-overexpressing human breast PHENO cell line SKBr3.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"PROT localizes at the X chromosome, whose mutations might result in Duchenne muscular dystrophy, Becker PHENO and X-linked dilated cardiomyopathy.",Dystrophin,P11532,muscular dystrophy,HP:0003560,abs,Good-CoM
"Notably, PROT mutations cause mental retardation and increased PHENO in humans.",JARID1C,P41229,aggression,HP:0000718,abs,Good-CoM
We concluded that the use of B203.13 in association with CD10 and PROT provides meaningful information for distinguishing normal residual B-cells from leukemic B-lymphoblasts and that recurrence of a CD10(+)/B203.13(+) phenotype after transplantation may be a very early relapse indicator of early B-acute lymphoblastic PHENO.,CD20,P11836,leukemia,HP:0001909,abs,Good-CoM
"The proportion of cases overexpressing PROT by tumor subtype was 72% for esophageal adenocarcinoma, 69% for gastric cardia adenocarcinoma, 52% for non-cardia gastric adenocarcinoma, and 67% for esophageal PHENO.",P53,P04637,squamous cell carcinoma,HP:0002860,abs,Good-CoM
"Recent evidence that HER3 is responsible for tumor resistance to therapeutic agents targeting EGFR or PROT/neu, along with the new findings that HER3 is involved in the process of dedifferentiation of gastric cancer (GC) have highlighted the critical role of HER3 in PHENO research.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"Tumour necrosis factor-alpha (TNF-alpha) is involved in the physiopathology of severe acute alcoholic PHENO (AAH) binding with TNF receptor types PROT and TNFR2, whose serum concentrations are elevated.",TNFR1,P19438,hepatitis,HP:0012115,abs,Good-CoM
"PHENO cells lacking p53, p16, or PROT escape MDM2-mediated repression of cyclin A expression and growth arrest.",BRG1,P51532,Cancer,HP:0002664,abs,Good-CoM
"In this study, we revealed that FUS/PROT binds to NIIs in the human brains from patients with spinocerebellar PHENO type 1, 2, 3, and dentatorubral-pallidoluysian atrophy.",TLS,P35637,ataxia,HP:0001251,abs,Good-CoM
"These findings suggest that PROT has a dual effect on the activities of RPSDH neurons; that is, facilitation and inhibition, depending on the modality of PHENO signaled through them and its action site.",SOM,Q8TE85,pain,HP:0012531,abs,Good-CoM
[Mass spectrography analysis of differential proteome in childhood TEL/PROT-positive PHENO].,AML1,Q01196,acute lymphoblastic leukemia,HP:0006721,abs,Bad-CoM
"We show here that the nuclear accumulation of p21(cip1) is not only a consequence of its increased levels but to a DNA damage cellular response, which is PHENO telangiectasia and Rad3 related (PROT)/ataxia telangiectasia mutated (ATM) and p53 independent.",ATR,Q9H6X2,ataxia,HP:0001251,abs,Good-CoM
"The MCT-diet induced severe hepatic PHENO, significantly higher serum free fatty acids and impaired hepatic lipid mobilization in PROT-KO mice.",VLCAD,P49748,steatosis,HP:0001397,abs,Good-CoM
"This study aims to evaluate the role of free/total prostate-specific antigen (PROT) ratio, serum total sialic acid level and cathepsin D activity in the differentiation of prostate PHENO and benign prostatic hyperplasia (BPH).",PSA,Q9Y617,cancer,HP:0002664,abs,Bad-CoM
Pharmacological targeting of the tyrosine kinase receptor PROT with the monoclonal antibody trastuzumab has dramatically changed the outlook of HER2-positive PHENO patients.,HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
"We assessed frequency distributions of the KRAS variant in 415 patients with histologically confirmed breast cancer and 457 controls from Connecticut, USA (study group 1) and association of this variant with breast-PHENO subtypes in 690 Irish women with known oestrogen receptor (ER), progesterone receptor (PR), and PROT statuses, and 360 controls (study group 2).",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
PROT-negative (ER-) breast PHENO is a heterogeneous disease with limited therapeutic options.,Estrogen receptor,P03372,cancer,HP:0002664,abs,Good-CoM
"In this study, we investigated whether plasma levels of PROT might be a sensitive marker both for the severity of PHENO and vulnerable plaques.",PTX3,O75364,coronary artery disease,HP:0001677,abs,Bad-CoM
"However, sCD44 concentration was a significant predictor of overall survival for patients with PROT-positive breast PHENO, while no difference in overall survival rates was observed in patients with HER2-negative breast cancer.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"Differential roles of trans-phosphorylated EGFR, HER2, PROT, and RET as heterodimerisation partners of MET in lung PHENO with MET amplification.",HER3,P21860,cancer,HP:0002664,abs,Bad-CoM
Murine polyomavirus virus-like particles carrying full-length human PSA protect BALB/c mice from outgrowth of a PROT expressing PHENO.,PSA,Q9Y617,tumor,HP:0002664,abs,Good-CoM
"PROT, 1 of 3 E-protein-encoding genes, is implicated in the induction of PHENO through its involvement in the chromosomal translocation 1;19 and consequent expression of the E2A-PBX1 oncoprotein.",E2A,P15923,acute lymphoblastic leukemia,HP:0006721,abs,Good-CoM
PROT (IL-6) is one of the major inflammatory interleukins that has been linked to PHENO progression.,Interleukin-6,P05231,cancer,HP:0002664,abs,Good-CoM
The concomitant occurrence of JAK2V617F mutation and BCR/PROT transcript with phenotypic expression - an overlapping PHENO or two distinct diseases?,ABL,P00519,myeloproliferative disorder,HP:0005547,abs,Bad-CoM
"However, the PHENO demonstrated moderately (2+) or strongly (3+) positive staining for TFEB, PROT, Ksp-cadherin, and vimentin but negative for TFE3, CD10, HMB45, melan A, CKpan, and CK7.",Cathepsin K,P43235,tumor,HP:0002664,abs,Good-CoM
To assess the Gene-Environmental interaction between maternal organochlorine pesticides (OCPs) level and PROT gene polymorphism with the risk of PHENO (PTD).,CYP17,P05093,preterm delivery,HP:0001622,abs,Bad-CoM
"Inflammatory biomarker pentraxin 3 (PROT) in relation to PHENO, body fat depots and weight loss.",PTX3,O75364,obesity,HP:0001513,abs,Bad-CoM
"The aim of our study was to investigate whether plasma levels of active VWF, total VWF, ADAMTS13, osteoprotegerin (PROT) and the ratios between VWF and ADAMTS13 are risk factors for first ST-segment elevation PHENO (STEMI).",OPG,O00300,myocardial infarction,HP:0001658,abs,Bad-CoM
"Our data demonstrate that low PROT expression predicts for increased sensitivity of MPM cells to a FAK inhibitor, VS-4718, in vitro and in PHENO xenograft models.",Merlin,P35240,tumor,HP:0002664,abs,Good-CoM
PROT (MCT8) deficiency causes severe X-linked intellectual and neuropsychological impairment associated with PHENO tests (TFTs) producing thyroid hormone (TH) deprivation in brain and excess in peripheral tissues.,Monocarboxylate transporter 8,P36021,abnormal thyroid function,HP:0002926,abs,Good-CoM
To determine the value of diffusion weighted imaging (DWI) in the diagnosis of hereditary spinocerebellar ataxia 3 and the Machado Joseph disease (PROT/MJD) and hereditary PHENO 4 (SPG4).,SCA3,P54252,spastic paraplegia,HP:0001258,abs,Bad-CoM
"PROT is suggested to exert beneficial effects via various mechanisms in the treatment of many diseases, such as cancer, neurodegenerative diseases, epilepsy, PHENO and obesity.",MLT,Q9UDY8,diabetes mellitus,HP:0000819,abs,Good-CoM
PROT contributes to podocyte injury of diabetic PHENO via inducing cyclin B1 and Skp2 accumulation.,MAD2B,Q9UI95,nephropathy,HP:0000112,abs,Good-CoM
PROT mutations in early- and late-onset atopic PHENO.,Filaggrin,P20930,dermatitis,HP:0011123,abs,Bad-CoM
Association of gene polymorphisms in RANKL/PROT/OPG system with PHENO and blood pressure in Chinese women.,RANK,Q9Y6Q6,hypertension,HP:0000822,abs,Bad-CoM
"PROT therapy provides the most improved glycemic control and reduction of complications, although PHENO and weight gain may occur.",Insulin,P01308,hypoglycemia,HP:0001943,abs,Good-CoM
BRmet50 was further shown to prospectively predict taxane-anthracycline sensitivity in patients with HER2-negative (PROT-) breast PHENO.,HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"Downregulation of KAL1 mRNA in HCC was significantly associated with malignant phenotype characteristics, including elevated tumor markers, larger PHENO size, vascular invasion, and hypermethylation of PROT.",KAL1,P23352,tumor,HP:0002664,abs,Good-CoM
PROT (GPC3) represents an attractive target for PHENO (HCC) therapy because it is highly expressed in HCC but not in adult normal tissue.,Glypican-3,P51654,hepatocellular carcinoma,HP:0001402,abs,Good-CoM
"Myocardial infarction (MI) results in an increased susceptibility to ventricular PHENO, due in part to decreased inward-rectifier K+ current (PROT), which is mediated primarily by the Kir2.1 protein.",IK1,Q13422,arrhythmias,HP:0011675,abs,Good-CoM
Modulation of the PROT-AMPK Signalling Pathway Underpins Hypoxic Pulmonary Vasoconstriction and Pulmonary PHENO.,LKB1,Q15831,Hypertension,HP:0000822,abs,Good-CoM
"PROT is a large protein implicated in the neurodevelopmental and PHENO autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS), which features the loss of Purkinje neurons in the cerebellum.",Sacsin,Q9NZJ4,neurodegenerative disease,HP:0002180,abs,Good-CoM
An immunohistochemical analysis of the tumor samples revealed that PROT-Fc treatment increased the pericyte coverage of the remaining PHENO vessels and decreased the hypoxia within the tumor.,ALK1,P37023,tumor,HP:0002664,abs,Good-CoM
"In a subset of three adjusted studies that included ER, PR, and PROT status, ever breastfeeding showed a stronger inverse association with triple-negative breast PHENO (OR 0.78; 95% CI 0.66-0.91) among parous women.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"In addition, we propose alternative interpretations for the low expression of PROT found in a majority of Hodgkin-Reed-Sternberg cells in classical Hodgkin PHENO.",CD20,P11836,lymphoma,HP:0002665,abs,Good-CoM
"Novel mutation in PROT associated with multiple mtDNA deletions, chronic progressive PHENO and premature aging.",C10orf2,Q96RR1,external ophthalmoplegia,HP:0000544,abs,Good-CoM
"PHENO gene modules co-expressed with NF1 (NF1-M), Sprouty (SPRY-M) and PTEN (PTEN-M) were identified, their signatures enabled robust clustering of adult diffuse gliomas of WHO grades II-IV from five independent data sets into two subtypes with distinct activities of RAS-PROT-MEK-MAPK cascade and PI3K-AKT pathway (named RMPAhigh and RMPAlow subtypes) in a morphology-independent manner.",RAF,P04049,Glioma,HP:0009733,abs,Bad-CoM
PROT inhibitor NG25 enhances doxorubicin-mediated apoptosis in breast PHENO cells.,TAK1,O43318,cancer,HP:0002664,abs,Good-CoM
Developmental eye defects in X-linked PHENO type 1 are caused by PROT (GPR143) mutations.,G-protein coupled receptor 143,P51810,ocular albinism,HP:0001107,abs,Good-CoM
Polymorphisms of the PROT/SLC45A2 gene and susceptibility to PHENO in the French population.,MATP,Q9UMX9,melanoma,HP:0002861,abs,Bad-CoM
Co-targeting translation and proteasome using the combination of Episilvestrol and Bortezomib promoted strong ER stress and rapid killing of colon PHENO cells with mutant RAS/PROT in culture and mice.,RAF,P04049,cancer,HP:0002664,abs,Bad-CoM
"Association of EGFR and KRAS mutations with expression of p-AKT, PROT and DcR1 in non-small cell lung PHENO.",DR5,O14763,cancer,HP:0002664,abs,Bad-CoM
"Therefore, neurologists should bear in mind that clinical presentations of PROT may vary widely from the classical phenotype of gait and limb ataxia to atypical manifestations such as oculomotor PHENO.",FRDA,Q16595,apraxia,HP:0002186,abs,Good-CoM
Immunohistochemical Characterization of Fumarate Hydratase (FH) and Succinate Dehydrogenase (PROT) in Cutaneous Leiomyomas for Detection of Familial PHENO Syndromes.,SDH,P21912,Cancer,HP:0002664,abs,Bad-CoM
"Results from clinical trials, including a long-term cardiovascular outcome study, have shown that sodium glucose co-transporter 2 (PROT) inhibitors can provide multiple cardiometabolic benefits beyond glycaemic control including inducing mild osmotic diuresis, natriuresis and PHENO.",SGLT2,P31639,weight loss,HP:0001824,abs,Good-CoM
"We further show that recombinant AAV serotype 1 (rAAV1) transduces ECs of pathologic vessels, and that editing of genomic PROT locus using rAAV1-mediated CRISPR/Cas9 abrogates angiogenesis in the mouse models of oxygen-induced PHENO and laser-induced choroid neovascularization.",VEGFR2,P35968,retinopathy,HP:0000488,abs,Good-CoM
"The four biomarkers (PROT/neu, EGFR, EpCAM, and mucin-1) detected CTCs in all 20 ovarian PHENO patients, whereas CellSearch performed on samples from those same patients only found CTCs in five.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
A combination of digital rectal examination and PROT level analysis (PSAT and PSAR) represents a screening method that greatly helps in early detection of prostate PHENO and in that way allows a prompt action of the clinician.,PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"Furthermore, although some animal experiments targeting adhesion molecules mediating the multi-step PMN migration across inflamed microvessels have shown reduced infarct size [25], clinical trials targeting PMN adhesion to endothelial ICAM-1 [9, 36, 47] or aiming at preventing PMN infiltration into the brain by neutralizing the  M 2-integrin (CD11b/PROT) [54] have failed to alleviate PHENO severity, suggesting that the mode of PMN action requires reassessment.",CD18,P05107,stroke,HP:0001297,ft,Good-CoM
"Increased PROT-P and eIF2 -P have been reported in postmortem analyses of brains from patients with Alzheimer s disease (AD), Parkinson s disease (PD) and the tauopathies Progressive Supranuclear Palsy (PSP) and PHENO (FTD), as well as in prion disease [3, 15, 16, 37, 38].",PERK,Q9NZJ5,Frontotemporal Dementia,HP:0002145,ft,Good-CoM
"For instance, a protein complex of SCRIB, NOS1AP and VANGL1 is associated with breast PHENO progression [10], TWIST/Mi2/NuRD protein complex has an essential role in cancer metastasis [11], aberrant protein complex consisting of prostaglandin-d-synthase (PROT) and transthyretin (TTR) is a biomarker of Alzheimer s disease [12].",PDS,O43511,cancer,HP:0002664,ft,Good-CoM
Early-onset AD with movement disorders such as parkinsonism or PHENO and/or psychiatric features such as hallucinations and psychosis may be seen with PS1 and PROT mutations [23].,PS2,P49810,myoclonus,HP:0001336,ft,Good-CoM
"The cancer-related action mechanism of SPARC varies depending on the tumor type, and PROT is known to be more severely expressed in the stroma around the tumor than in the PHENO cell.",SPARC,P09486,tumor,HP:0002664,ft,Good-CoM
"Borrowing from the successful clinical experience with TNF antagonism in PHENO and Crohn's disease, anti-BLyS monoclonal antibody and/or fusion proteins between any of the three known BLyS receptors (BCMA; PROT; BAFFR) and the Fc portion of IgG could bind and neutralize circulating BLyS.",TACI,O14836,rheumatoid arthritis,HP:0001370,ft,Good-CoM
"PROT is overexpressed in fibrosis, arthritis and PHENO; thus, an understanding of how to control CCN2 expression is likely to have importance in developing therapies to combat these pathologies.",CCN2,P29279,cancer,HP:0002664,ft,Good-CoM
"CCN2 is overexpressed in fibrosis, arthritis and PHENO; thus, an understanding of how to control PROT expression is likely to have importance in developing therapies to combat these pathologies.",CCN2,P29279,cancer,HP:0002664,ft,Good-CoM
"More recently, IL-1 inhibition has also been shown to be effective in another PROT (TNF-receptor associated periodic syndrome or TRAPS) as well as in other conditions such as systemic juvenile idiopathic arthritis and recurrent idiopathic PHENO.",AID,Q9GZX7,pericarditis,HP:0001701,ft,Good-CoM
"Based on the preexisting evidence for the impact of TNF  in the pathogenesis of autoimmune disorders and their known association with an acquired PHENO, we investigated the effects of TNF  and the role of the TNF receptor subtypes PROT and TNFR2 for arteriolar thrombosis in vivo.",TNFR1,P19438,hypercoagulability,HP:0100724,ft,Bad-CoM
"PROT produced by infiltrating active T cells and macrophages was highly detectable in the synovial tissues of subjects with active rheumatoid PHENO (RA) [2,3].",RANKL,O14788,arthritis,HP:0001369,ft,Good-CoM
"Etoposide treatment stimulated CKI-dependent phosphorylation of specific TMPRSS2-ERG fusions with a masked SPOP-binding site, and wild-type ERG restored SPOP-binding and degradation of PROT in prostate PHENO cells.",ERG,Q12809,cancer,HP:0002664,ft,Good-CoM
"Improvement in PHENO has not been assessed only on the basis of fasting blood sugar parameter but improvement in allthe chief and associated complaints; decrease in fasting and postprandial blood sugar and serum PROT levels including decrease in serum cholesterol, serum triglyceride and increase in serum HDL have also been taken as criteria for assessment.",Insulin,P01308,diabetes mellitus,HP:0000819,ft,Good-CoM
Our results suggested a possible functional role of PROT in the pathogenesis of schizophrenia and confirmed the utility of peripheral blood samples for molecular profiling of PHENO including schizophrenia.,FEZ1,Q9Y250,psychiatric disorders,HP:0000708,ft,Good-CoM
"Furthermore, higher PROT levels are associated with the risk of PHENO, highgrade disease, tumor stage, and the presence of metastatic disease.",PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"Although correlation of immunoassay results with that of antibody array results was poor (R2 = 0.375), the expression level of PROT in HCC (median = 651 pg/ml) was significantly higher than that in the PHENO group (median = 575 pg/ml) (p = 0.025) (Fig.",CTNNB,P35222,hepatitis,HP:0012115,ft,Good-CoM
"However, the association between PROT status and prognosis in PHENO remains controversial.",HER2,P04626,gastric cancer,HP:0012126,ft,Bad-CoM
"Over-expression of PROT has been also reported in lymphoma [27, 28] and cancer types other than haematological malignancies, such as breast cancer [29], testicular PHENO [30, 31] and hepatocarcinoma [32].",HLXB9,P50219,cancer,HP:0002664,ft,Good-CoM
"Furthermore, full-length OPG possesses PROT-and TRAIL-independent biological properties, mainly related to the promotion of endothelial cell survival as well as angiogenesis and metastasis of breast PHENO, ameloblastomas, and multiple myeloma (Holen et al., 2002; Shipman and Croucher, 2003; Zauli et al., 2009).",RANKL,O14788,cancer,HP:0002664,ft,Good-CoM
"In conclusion, miR-34a may act as a potential tumour suppressor in gastric cancer and is associated with the mechanisms of gastric cancer metastasis; miR-34a can inhibit gastric PHENO tumourigenesis by targeting PROT and MET through the PI3K (phosphoinositide 3-kinase)/Akt pathway.",PDGFR,P09619,cancer,HP:0002664,ft,Good-CoM
"Still, activating mutations have rarely been identified in HRAS1, PROT or NRAS in human PHENO [10-12].",KRAS2,P01116,neuroblastoma,HP:0003006,ft,Good-CoM
The absence of PROT did not impair tumor development but was associated with the absence of PHENO invasion into muscle.,MIF,P03971,tumor,HP:0002664,ft,Good-CoM
Half of PHENO cell lines expressed PROT.,Nectin-4,Q96NY8,ovarian tumor,HP:0100615,ft,Good-CoM
"Although an appropriate dietary intervention reproducing the prominent anti-HER2 features of EVOO polyphenolsmust be carried out in human pilot studies in the future, it is reasonable to suggest that parental and/or semi-synthetic derivatives of EVOO lignans and secoiridoids might represent previously unrecognized diet-based therapeutic strategies capable to successfully prevent and/or treat PROT-driven natural history of breast PHENO disease.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"siRNA-induced depletion of HER2 protein protects breast PHENO cells against EVOO-induced cell growth inhibition, thus suggesting that EVOO polyphenols should interact necessarily with the PROT protein itself to trigger their mechanism of action; 3.)",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"However, the BCR-ABL and PDGF pathways inhibited by gleevec is down-regulated in metastasizing tumors according to our analysis, which might indicate that inhibition of PROT is not relevant for treatment of PHENO.",ABL,P00519,breast cancer,HP:0003002,ft,Good-CoM
RT-PCR was used to measure the levels of c-Met and PROT mRNA in 18 snap-frozen human embryonal PHENO specimens (14 medulloblastoma and 4 peripheral neuroectodermal tumors (PNET)).,DR5,O14763,tumor,HP:0002664,ft,Bad-CoM
"Thus, there appears to be something distinctive about PHENO and glioma cells, and possibly a number of cancer cell types (ovarian, prostate, meninges) that are susceptible to PROT antagonists [2].",ETRB,P24530,melanoma,HP:0002861,ft,Good-CoM
"Negative immunostaining for ER, PR, p53, PROT and HCCR-1 in PHENO (bottom panel).",HER2,P04626,breast carcinoma,HP:0003002,ft,Bad-CoM
"In 1998, Trastuzumab (marketed as Herceptin, Genentech, San Francisco, California, USA) was approved for the targeted therapy of PROT-overexpressing metastatic PHENO patients by the Food and Drug Administration (FDA) of the USA, and it has also recently been shown to be very effective in the adjuvant setting [2].",HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
